trip_id,user_id,sex,age,date,station_code_origin,station_code_destination,duration_m
32244529,306135,F,26,2024-01,GDL-093,GDL-011,14
32244528,2413573,F,23,2024-01,GDL-072,GDL-027,13
32244527,536043,M,29,2024-01,ZPN-037,GDL-150,7
32244526,1250225,M,38,2024-01,GDL-016,GDL-036,10
32244525,2613272,M,21,2024-01,GDL-191,GDL-251,9
32244524,1542070,M,37,2024-01,GDL-249,GDL-073,14
32244523,3352124,M,27,2024-01,GDL-091,GDL-202,4
32244522,470427,M,50,2024-01,GDL-061,GDL-052,7
32244521,2614661,M,26,2024-01,GDL-191,GDL-251,9
32244520,1512206,F,38,2024-01,GDL-064,GDL-049,8
32244519,37463,M,59,2024-01,GDL-082,GDL-052,9
32244518,306135,F,26,2024-01,GDL-093,GDL-093,1
32244517,205004,M,31,2024-01,GDL-093,GDL-011,16
32244516,30000,M,30,2024-01,GDL-091,GDL-192,15
32244515,1656264,F,23,2024-01,GDL-203,GDL-238,6
32244514,2431176,M,24,2024-01,GDL-087,GDL-102,9
32244513,2710133,M,25,2024-01,GDL-104,GDL-010,5
32244512,2431306,M,24,2024-01,GDL-087,GDL-102,9
32244510,2653230,M,34,2024-01,GDL-225,GDL-256,15
32244509,652476,M,24,2024-01,TLQ-006,TLQ-010,4
32244508,2711370,M,28,2024-01,GDL-107,GDL-122,22
32244507,2610416,M,27,2024-01,GDL-180,GDL-178,1
32244506,2333414,M,32,2024-01,GDL-026,GDL-034,3
32244505,524524,M,29,2024-01,GDL-165,GDL-168,4
32244504,1004074,M,29,2024-01,GDL-077,GDL-060,4
32244503,137123,F,32,2024-01,GDL-064,GDL-039,5
32244502,2416760,M,37,2024-01,GDL-072,GDL-038,7
32244501,16475,M,64,2024-01,ZPN-027,ZPN-008,8
32244500,1374514,M,21,2024-01,TLQ-001,TLQ-009,7
32244499,1422336,M,37,2024-01,GDL-038,GDL-112,13
32244498,703361,M,33,2024-01,ZPN-067,GDL-040,24
32244497,2673231,M,25,2024-01,GDL-070,GDL-251,14
32244496,2065666,M,53,2024-01,GDL-048,GDL-076,6
32244495,152460,M,28,2024-01,GDL-100,GDL-104,17
32244494,2211226,M,32,2024-01,ZPN-028,ZPN-001,4
32244493,237041,M,35,2024-01,GDL-168,GDL-197,8
32244492,336237,M,35,2024-01,GDL-051,GDL-159,13
32244491,657775,M,32,2024-01,GDL-040,GDL-206,8
32244490,361733,F,32,2024-01,GDL-196,GDL-190,11
32244489,340244,M,33,2024-01,GDL-187,GDL-190,7
32244488,2100613,M,19,2024-01,GDL-124,GDL-206,25
32244487,37722,M,30,2024-01,GDL-124,GDL-152,12
32244486,2432061,M,36,2024-01,ZPN-038,ZPN-058,10
32244485,2752701,M,41,2024-01,GDL-136,GDL-133,4
32244484,2765205,M,47,2024-01,GDL-195,GDL-211,17
32244483,446333,M,39,2024-01,GDL-087,GDL-094,4
32244482,1146244,M,24,2024-01,GDL-049,GDL-187,7
32244481,371413,M,50,2024-01,GDL-122,GDL-069,9
32244480,3346434,M,20,2024-01,GDL-013,GDL-037,10
32244479,2473015,M,34,2024-01,GDL-002,GDL-052,15
32244478,2353203,M,21,2024-01,GDL-052,GDL-244,15
32244477,1242324,M,30,2024-01,GDL-043,GDL-012,12
32244476,1563551,M,28,2024-01,GDL-017,GDL-135,6
32244475,2757155,M,24,2024-01,GDL-194,GDL-168,6
32244474,1220241,M,48,2024-01,GDL-239,GDL-215,12
32244473,777334,F,42,2024-01,GDL-019,GDL-050,25
32244470,2626027,M,54,2024-01,GDL-096,GDL-026,4
32244469,2332630,F,30,2024-01,GDL-003,GDL-264,16
32244466,621172,M,41,2024-01,GDL-039,GDL-036,7
32244465,761305,F,41,2024-01,ZPN-036,GDL-175,8
32244462,444213,M,33,2024-01,GDL-239,GDL-001,18
32244460,422620,M,35,2024-01,GDL-204,GDL-028,27
32244458,727374,M,48,2024-01,GDL-156,GDL-049,9
32244457,1002631,F,39,2024-01,GDL-156,GDL-049,11
32244456,250223,M,43,2024-01,GDL-101,GDL-060,15
32244455,2247666,M,24,2024-01,GDL-156,GDL-051,11
32244454,2735554,M,35,2024-01,GDL-239,GDL-001,20
32244452,1135115,M,34,2024-01,GDL-009,GDL-097,7
32244451,2565533,M,29,2024-01,ZPN-072,ZPN-060,13
32244450,321726,F,41,2024-01,GDL-063,GDL-072,6
32244449,1533755,M,27,2024-01,GDL-069,GDL-048,5
32244448,1640262,M,28,2024-01,GDL-090,GDL-107,5
32244447,3345642,M,26,2024-01,GDL-093,GDL-020,22
32244446,3345667,F,26,2024-01,GDL-093,GDL-020,22
32244445,334634,M,32,2024-01,GDL-048,GDL-272,16
32244444,2162050,M,31,2024-01,GDL-063,GDL-094,11
32244443,201,M,46,2024-01,GDL-080,GDL-093,4
32244442,1763154,M,38,2024-01,GDL-048,GDL-272,17
32244441,650554,M,29,2024-01,GDL-156,GDL-153,10
32244440,2760305,F,25,2024-01,GDL-018,GDL-217,16
32244439,1620176,M,27,2024-01,ZPN-012,ZPN-015,4
32244438,1062350,M,24,2024-01,GDL-024,GDL-005,6
32244437,743520,M,38,2024-01,GDL-032,GDL-029,8
32244436,2120066,M,33,2024-01,GDL-198,GDL-028,10
32244435,331675,M,55,2024-01,GDL-048,GDL-248,15
32244434,152612,M,35,2024-01,ZPN-070,ZPN-021,11
32244433,2633755,M,24,2024-01,GDL-078,GDL-009,14
32244432,446776,M,33,2024-01,ZPN-070,GDL-188,3
32244431,306531,M,26,2024-01,GDL-009,GDL-196,7
32244430,322735,M,31,2024-01,GDL-040,GDL-196,12
32244429,2732301,M,33,2024-01,GDL-060,GDL-229,13
32244428,454360,M,28,2024-01,GDL-198,GDL-196,9
32244427,452471,F,27,2024-01,GDL-049,GDL-075,8
32244426,401506,M,35,2024-01,GDL-126,GDL-052,10
32244425,2162050,M,31,2024-01,GDL-063,GDL-063,1
32244424,237470,M,42,2024-01,GDL-184,GDL-274,9
32244420,2760164,M,38,2024-01,GDL-244,GDL-250,6
32244419,302632,M,24,2024-01,GDL-073,GDL-196,10
32244418,231060,M,45,2024-01,GDL-128,GDL-031,13
32244416,2653211,M,25,2024-01,GDL-040,GDL-074,10
32244415,1331655,F,28,2024-01,GDL-134,GDL-049,15
32244414,573122,M,29,2024-01,GDL-030,GDL-031,6
32244413,1402217,M,22,2024-01,GDL-244,GDL-261,14
32244412,1250426,F,25,2024-01,GDL-030,GDL-102,11
32244410,2537111,M,30,2024-01,GDL-022,GDL-187,8
32244409,365434,M,45,2024-01,GDL-050,GDL-054,7
32244407,1542423,M,26,2024-01,GDL-026,GDL-049,6
32244406,3337576,M,25,2024-01,GDL-198,GDL-244,6
32244405,1565473,M,22,2024-01,GDL-244,GDL-253,8
32244404,2762551,M,21,2024-01,GDL-230,GDL-236,4
32244403,330641,M,60,2024-01,GDL-009,GDL-127,18
32244402,321646,M,47,2024-01,GDL-015,GDL-028,6
32244401,606165,M,31,2024-01,GDL-040,GDL-113,11
32244400,2036015,M,54,2024-01,GDL-039,GDL-029,11
32244399,2671711,M,43,2024-01,GDL-022,GDL-017,63
32244398,2523100,M,41,2024-01,GDL-136,GDL-132,18
32244397,2630430,F,28,2024-01,GDL-104,GDL-096,4
